Premier Mens,West Bridgford &amp; LE 1st,Bingham 1st,Rolls Royce 1st,Byron 1st,West Bridgford &amp; LE 2nd,Bingham 2nd,Forest 1st,Rolls Royce 2nd,
Mens Div 1,Mapperley Park 1st,University 2nd,University 1st,Byron 2nd,Bingham 3rd,Mapperley Park 2nd,Forest 2nd,East Leake 1st,
Mens Div 2B,Carlton 1st,Phoenixwood 1st,University Staff,Boots 1st,Crusader,Byron 3rd,Mansfield Oaktree,,
Mens Div 4B,Naseeb 3rd,Byron 4th,Mapperley Park 4th,Southwell Centre 2nd,Arboretum 1st,Phoenixwood 3rd,David Lloyd Aspley 2nd,,
Premier Mixed,Bingham 1st,Byron 2nd,Byron 1st,Forest 1st,West Bridgford &amp; LE 1st,Bingham 2nd,Beeston Fields 1st,University 1st,
Mixed Div 3A,St Giles 1st,Beeston Fields 3rd,University 3rd,David Lloyd Aspley 1st,Boots 1st,Mapperley Park 4th,Byron 4th,,
Mixed Div 3B,Rolls Royce,Byron 3rd,Beeston Valley 1st,Mapperley Park 5th,Redhill 1st,Boots 2nd,Kimberley 1st,,
Mixed Div 5A,Arboretum 2nd,Carlton 2nd,Crusader 2nd,Byron 5th,Redhill 2nd,Kimberley 3rd,Nottingham Vets 4th,,
Premier Ladies,Forest 1st,Byron 1st,Bingham 1st,West Bridgford &amp; LE,Beeston Fields 1st,Bingham 2nd,Nottingham Vets 1st,,
Ladies Division 4,St Giles 1st,University 2nd,Byron 2nd,Trent Uni Students,Beeston Valley 2nd,St Giles 2nd,,,
