Mens Div 2B,Carlton 1st,Phoenixwood 1st,Boots 1st,Byron 3rd,Crusader,Mansfield Oaktree,University Staff,,
Mens Div 3A,Phoenixwood 2nd,Rolls Royce 3rd,University 4th,Beeston Valley 1st,Redhill 1st,Boots 2nd,Kimberley 1st,,
Mens Div 4B,Naseeb 3rd,Arboretum 1st,Mapperley Park 4th,Byron 4th,Phoenixwood 3rd,David Lloyd Aspley 2nd,Southwell Centre 2nd,,
Mixed Div 1,Bingham 3rd,University 2nd,Mapperley Park 1st,Mansfield Oaktree,Forest 2nd,East Leake 1st,Phoenixwood 1st,West Bridgford &amp; LE 2nd,
Mixed Div 2B,Forest 3rd,Nottingham Vets 2nd,Bingham 5th,Mapperley Park 3rd,Phoenixwood 2nd,Rushcliffe Arena 1st,West Bridgford &amp; LE 3rd,,
Mixed Div 4A,Southwell Centre 1st,East Leake 3rd,St Giles 2nd,Beeston Valley 2nd,Kimberley 2nd,David Lloyd Aspley 2nd,Phoenixwood 4th,,
Mixed Div 4B,Southwell Centre 2nd,Beeston Fields 4th,Phoenixwood 3rd,Boots 3rd,Arboretum 1st,Nottingham Vets 3rd,University Staff,,
Mixed Div 5B,Rushcliffe Arena 2nd,St Giles 3rd,Beeston Valley 3rd,University 4th,Carlton 3rd,Phoenixwood 5th,Unity,,
Ladies Division 1,Mapperley Park 1st,East Leake,Nottingham Vets 2nd,Mansfield Oaktree,Mapperley Park 2nd,Bingham 3rd,Phoenixwood 1st,,
Ladies Division 3,Phoenixwood 2nd,Boots,Kimberley,Southwell Centre,Beeston Fields 2nd,Arboretum,Rushcliffe Arena,,
